code,unit,statisticalUnit,description
KS403EW0011,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Occupancy rating (rooms) of -1 or less
KS403EW0012,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Occupancy rating (bedrooms) of -1 or less
KS404EW0001,Count,Households,All categories: Car or van availability
KS404EW0002,Count,Households,No cars or vans in household
KS404EW0003,Count,Households,1 car or van in household
KS404EW0004,Count,Households,2 cars or vans in household
KS404EW0005,Count,Households,3 cars or vans in household
KS404EW0006,Count,Households,4 or more cars or vans in household
KS404EW0007,Sum,All cars or vans in the area,All categories: Car or van availability
KS404EW0008,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",No cars or vans in household
KS404EW0009,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",1 car or van in household
KS404EW0010,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",2 cars or vans in household
KS404EW0011,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",3 cars or vans in household
KS404EW0012,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",4 or more cars or vans in household
KS405EW0001,Count,Communal establishment,All communal establishments
KS405EW0002,Count,Person,All categories: Usual residents by communal establishment management and type
KS405EW0003,Count,Person,Medical and care establishment: NHS: General hospital
KS405EW0004,Count,Person,Medical and care establishment: NHS: Mental health hospital/unit (including secure units)
KS405EW0005,Count,Person,Medical and care establishment: NHS: Other hospital
KS405EW0006,Count,Person,Medical and care establishment: Local Authority: Children's home (including secure units)
KS405EW0007,Count,Person,Medical and care establishment: Local Authority: Care home or other home
KS405EW0008,Count,Person,Medical and care establishment: Registered Social Landlord/Housing Association
KS405EW0009,Count,Person,Medical and care establishment: Other: Care home with nursing
KS405EW0010,Count,Person,Medical and care establishment: Other: Care home without nursing
KS405EW0011,Count,Person,Medical and care establishment: Other: Children's home (including secure units)
KS405EW0012,Count,Person,Medical and care establishment: Other
KS405EW0013,Count,Person,Other establishments
KS405EW0014,Count,Person,Establishment not stated
KS405EW0015,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Medical and care establishment: NHS: General hospital
KS405EW0016,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Medical and care establishment: NHS: Mental health hospital/unit (including secure units)
KS405EW0017,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Medical and care establishment: NHS: Other hospital
KS405EW0018,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Medical and care establishment: Local Authority: Children's home (including secure units)
KS405EW0019,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Medical and care establishment: Local Authority: Care home or other home
KS405EW0020,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Medical and care establishment: Registered Social Landlord/Housing Association
KS405EW0021,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Medical and care establishment: Other: Care home with nursing
KS405EW0022,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Medical and care establishment: Other: Care home without nursing
KS405EW0023,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Medical and care establishment: Other: Children's home (including secure units)
KS405EW0024,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Medical and care establishment: Other
KS405EW0025,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Other establishments
KS405EW0026,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Establishment not stated
KS501EW0001,Count,Person,All categories: Highest level of qualification
KS501EW0002,Count,Person,No qualifications
KS501EW0003,Count,Person,Highest level of qualification: Level 1 qualifications
KS501EW0004,Count,Person,Highest level of qualification: Level 2 qualifications
KS501EW0005,Count,Person,Highest level of qualification: Apprenticeship
KS501EW0006,Count,Person,Highest level of qualification: Level 3 qualifications
KS501EW0007,Count,Person,Highest level of qualification: Level 4 qualifications and above
KS501EW0008,Count,Person,Highest level of qualification: Other qualifications
KS501EW0009,Count,Person,Schoolchildren and full-time students: Age 16 to 17
KS501EW0010,Count,Person,Schoolchildren and full-time students: Age 18 and over
KS501EW0011,Count,Person,Full-time students: Age 18 to 74: Economically active: In employment
KS501EW0012,Count,Person,Full-time students: Age 18 to 74: Economically active: Unemployed
KS501EW0013,Count,Person,Full-time students: Age 18 to 74: Economically inactive
KS501EW0014,Percentage,Person,No qualifications
KS501EW0015,Percentage,Person,Highest level of qualification: Level 1 qualifications
KS501EW0016,Percentage,Person,Highest level of qualification: Level 2 qualifications
KS501EW0017,Percentage,Person,Highest level of qualification: Apprenticeship
KS501EW0018,Percentage,Person,Highest level of qualification: Level 3 qualifications
KS501EW0019,Percentage,Person,Highest level of qualification: Level 4 qualifications and above
KS501EW0020,Percentage,Person,Highest level of qualification: Other qualifications
KS501EW0021,Percentage,Person,Schoolchildren and full-time students: Age 16 to 17
KS501EW0022,Percentage,Person,Schoolchildren and full-time students: Age 18 and over
KS501EW0023,Percentage,Person,Full-time students: Age 18 to 74: Economically active: In employment
KS501EW0024,Percentage,Person,Full-time students: Age 18 to 74: Economically active: Unemployed
KS501EW0025,Percentage,Person,Full-time students: Age 18 to 74: Economically inactive
KS601EW0001,Count,Person,All categories: Economic activity
KS601EW0002,Count,Person,Economically active: Employee: Part-time
KS601EW0003,Count,Person,Economically active: Employee: Full-time
KS601EW0004,Count,Person,Economically active: Self-employed
KS601EW0005,Count,Person,Economically active: Unemployed
KS601EW0006,Count,Person,Economically active: Full-time student
KS601EW0007,Count,Person,Economically inactive: Retired
KS601EW0008,Count,Person,Economically inactive: Student (including full-time students)
KS601EW0009,Count,Person,Economically inactive: Looking after home or family
KS601EW0010,Count,Person,Economically inactive: Long-term sick or disabled
KS601EW0011,Count,Person,Economically inactive: Other
KS601EW0012,Count,Person,Unemployed: Age 16 to 24
KS601EW0013,Count,Person,Unemployed: Age 50 to 74
KS601EW0014,Count,Person,Unemployed: Never worked
KS601EW0015,Count,Person,Long-term unemployed
KS601EW0016,Percentage,Person,Economically active: Employee: Part-time
KS601EW0017,Percentage,Person,Economically active: Employee: Full-time
KS601EW0018,Percentage,Person,Economically active: Self-employed
KS601EW0019,Percentage,Person,Economically active: Unemployed
KS601EW0020,Percentage,Person,Economically active: Full-time student
KS601EW0021,Percentage,Person,Economically inactive: Retired
KS601EW0022,Percentage,Person,Economically inactive: Student (including full-time students)
KS601EW0023,Percentage,Person,Economically inactive: Looking after home or family
KS601EW0024,Percentage,Person,Economically inactive: Long-term sick or disabled
KS601EW0025,Percentage,Person,Economically inactive: Other
KS601EW0026,Percentage,Person,Unemployed: Age 16 to 24
KS601EW0027,Percentage,Person,Unemployed: Age 50 to 74
KS601EW0028,Percentage,Person,Unemployed: Never worked
KS601EW0029,Percentage,Person,Long-term unemployed
KS602EW0001,Count,Person,All categories: Economic activity
KS602EW0002,Count,Person,Economically active: Employee: Part-time
KS602EW0003,Count,Person,Economically active: Employee: Full-time
KS602EW0004,Count,Person,Economically active: Self-employed
KS602EW0005,Count,Person,Economically active: Unemployed
KS602EW0006,Count,Person,Economically active: Full-time student
KS602EW0007,Count,Person,Economically inactive: Retired
KS602EW0008,Count,Person,Economically inactive: Student (including full-time students)
KS602EW0009,Count,Person,Economically inactive: Looking after home or family
KS602EW0010,Count,Person,Economically inactive: Long-term sick or disabled
KS602EW0011,Count,Person,Economically inactive: Other
KS602EW0012,Count,Person,Unemployed: Age 16 to 24
KS602EW0013,Count,Person,Unemployed: Age 50 to 74
KS602EW0014,Count,Person,Unemployed: Never worked
KS602EW0015,Count,Person,Long-term unemployed
KS602EW0016,Percentage,Person,Economically active: Employee: Part-time
KS602EW0017,Percentage,Person,Economically active: Employee: Full-time
KS602EW0018,Percentage,Person,Economically active: Self-employed
KS602EW0019,Percentage,Person,Economically active: Unemployed
KS602EW0020,Percentage,Person,Economically active: Full-time student
KS602EW0021,Percentage,Person,Economically inactive: Retired
KS602EW0022,Percentage,Person,Economically inactive: Student (including full-time students)
KS602EW0023,Percentage,Person,Economically inactive: Looking after home or family
KS602EW0024,Percentage,Person,Economically inactive: Long-term sick or disabled
KS602EW0025,Percentage,Person,Economically inactive: Other
KS602EW0026,Percentage,Person,Unemployed: Age 16 to 24
KS602EW0027,Percentage,Person,Unemployed: Age 50 to 74
KS602EW0028,Percentage,Person,Unemployed: Never worked
KS602EW0029,Percentage,Person,Long-term unemployed
KS603EW0001,Count,Person,All categories: Economic activity
KS603EW0002,Count,Person,Economically active: Employee: Part-time
KS603EW0003,Count,Person,Economically active: Employee: Full-time
KS603EW0004,Count,Person,Economically active: Self-employed
KS603EW0005,Count,Person,Economically active: Unemployed
KS603EW0006,Count,Person,Economically active: Full-time student
KS603EW0007,Count,Person,Economically inactive: Retired
KS603EW0008,Count,Person,Economically inactive: Student (including full-time students)
KS603EW0009,Count,Person,Economically inactive: Looking after home or family
KS603EW0010,Count,Person,Economically inactive: Long-term sick or disabled
KS603EW0011,Count,Person,Economically inactive: Other
KS603EW0012,Count,Person,Unemployed: Age 16 to 24
KS603EW0013,Count,Person,Unemployed: Age 50 to 74
KS603EW0014,Count,Person,Unemployed: Never worked
KS603EW0015,Count,Person,Long-term unemployed
KS603EW0016,Percentage,Person,Economically active: Employee: Part-time
KS603EW0017,Percentage,Person,Economically active: Employee: Full-time
KS603EW0018,Percentage,Person,Economically active: Self-employed
KS603EW0019,Percentage,Person,Economically active: Unemployed
KS603EW0020,Percentage,Person,Economically active: Full-time student
KS603EW0021,Percentage,Person,Economically inactive: Retired
KS603EW0022,Percentage,Person,Economically inactive: Student (including full-time students)
KS603EW0023,Percentage,Person,Economically inactive: Looking after home or family
KS603EW0024,Percentage,Person,Economically inactive: Long-term sick or disabled
QS103EW0053,Count,Person,Age 51
KS603EW0025,Percentage,Person,Economically inactive: Other
KS603EW0026,Percentage,Person,Unemployed: Age 16 to 24
KS603EW0027,Percentage,Person,Unemployed: Age 50 to 74
KS603EW0028,Percentage,Person,Unemployed: Never worked
KS603EW0029,Percentage,Person,Long-term unemployed
KS604EW0001,Count,Person,All categories: Hours worked by sex
KS604EW0002,Count,Person,Part-time: 15 hours or less worked
KS604EW0003,Count,Person,Part-time: 16 to 30 hours worked
KS604EW0004,Count,Person,Full-time: 31 to 48 hours worked
KS604EW0005,Count,Person,Full-time: 49 or more hours worked
KS604EW0006,Count,Person,Males: Total
KS604EW0007,Count,Person,Males: Part-time: 15 hours or less worked
KS604EW0008,Count,Person,Males: Part-time: 16 to 30 hours worked
KS604EW0009,Count,Person,Males: Full-time: 31 to 48 hours worked
KS604EW0010,Count,Person,Males: Full-time: 49 or more hours worked
KS604EW0011,Count,Person,Females: Total
KS604EW0012,Count,Person,Females: Part-time: 15 hours or less worked
KS604EW0013,Count,Person,Females: Part-time: 16 to 30 hours worked
KS604EW0014,Count,Person,Females: Full-time: 31 to 48 hours worked
KS604EW0015,Count,Person,Females: Full-time: 49 or more hours worked
KS604EW0016,Percentage,Person,Part-time: 15 hours or less worked
KS604EW0017,Percentage,Person,Part-time: 16 to 30 hours worked
KS604EW0018,Percentage,Person,Full-time: 31 to 48 hours worked
KS604EW0019,Percentage,Person,Full-time: 49 or more hours worked
KS604EW0020,Percentage,Person,Males: Total
KS604EW0021,Percentage,Person,Males: Part-time: 15 hours or less worked
KS604EW0022,Percentage,Person,Males: Part-time: 16 to 30 hours worked
KS604EW0023,Percentage,Person,Males: Full-time: 31 to 48 hours worked
KS604EW0024,Percentage,Person,Males: Full-time: 49 or more hours worked
KS604EW0025,Percentage,Person,Females: Total
KS604EW0026,Percentage,Person,Females: Part-time: 15 hours or less worked
KS604EW0027,Percentage,Person,Females: Part-time: 16 to 30 hours worked
KS604EW0028,Percentage,Person,Females: Full-time: 31 to 48 hours worked
KS604EW0029,Percentage,Person,Females: Full-time: 49 or more hours worked
KS605EW0001,Count,Person,All categories: Industry
KS605EW0002,Count,Person,"A Agriculture, forestry and fishing"
KS605EW0003,Count,Person,B Mining and quarrying
KS605EW0004,Count,Person,C Manufacturing
KS605EW0005,Count,Person,"D Electricity, gas, steam and air conditioning supply "
KS605EW0006,Count,Person,"E Water supply; sewerage, waste management and remediation activities"
KS605EW0007,Count,Person,F Construction
KS605EW0008,Count,Person,G Wholesale and retail trade; repair of motor vehicles and motor cycles
KS605EW0009,Count,Person,H Transport and storage
KS605EW0010,Count,Person,I Accommodation and food service activities
KS605EW0011,Count,Person,J Information and communication
KS605EW0012,Count,Person,K Financial and insurance activities
KS605EW0013,Count,Person,L Real estate activities
KS605EW0014,Count,Person,"M Professional, scientific and technical activities"
KS605EW0015,Count,Person,N Administrative and support service activities
KS605EW0016,Count,Person,O Public administration and defence; compulsory social security
KS605EW0017,Count,Person,P Education
KS605EW0018,Count,Person,Q Human health and social work activities
KS605EW0019,Count,Person,"R, S, T, U Other"
KS605EW0020,Percentage,Person,"A Agriculture, forestry and fishing"
KS605EW0021,Percentage,Person,B Mining and quarrying
KS605EW0022,Percentage,Person,C Manufacturing
KS605EW0023,Percentage,Person,"D Electricity, gas, steam and air conditioning supply"
KS605EW0024,Percentage,Person,"E Water supply; sewerage, waste management and remediation activities"
KS605EW0025,Percentage,Person,F Construction
KS605EW0026,Percentage,Person,G Wholesale and retail trade; repair of motor vehicles and motor cycles
KS605EW0027,Percentage,Person,H Transport and storage
KS605EW0028,Percentage,Person,I Accommodation and food service activities
KS605EW0029,Percentage,Person,J Information and communication
KS605EW0030,Percentage,Person,K Financial and insurance activities
KS605EW0031,Percentage,Person,L Real estate activities
KS605EW0032,Percentage,Person,"M Professional, scientific and technical activities"
KS605EW0033,Percentage,Person,N Administrative and support service activities
KS605EW0034,Percentage,Person,O Public administration and defence; compulsory social security
KS605EW0035,Percentage,Person,P Education
KS605EW0036,Percentage,Person,Q Human health and social work activities
KS605EW0037,Percentage,Person,"R, S, T, U Other"
KS606EW0001,Count,Person,All categories: Industry
KS606EW0002,Count,Person,"A Agriculture, forestry and fishing"
KS606EW0003,Count,Person,B Mining and quarrying
KS606EW0004,Count,Person,C Manufacturing
KS606EW0005,Count,Person,"D Electricity, gas, steam and air conditioning supply "
KS606EW0006,Count,Person,"E Water supply; sewerage, waste management and remediation activities"
KS606EW0007,Count,Person,F Construction
KS606EW0008,Count,Person,G Wholesale and retail trade; repair of motor vehicles and motor cycles
KS606EW0009,Count,Person,H Transport and storage
KS606EW0010,Count,Person,I Accommodation and food service activities
KS606EW0011,Count,Person,J Information and communication
KS606EW0012,Count,Person,K Financial and insurance activities
KS606EW0013,Count,Person,L Real estate activities
KS606EW0014,Count,Person,"M Professional, scientific and technical activities"
QS103EW0054,Count,Person,Age 52
KS606EW0015,Count,Person,N Administrative and support service activities
KS606EW0016,Count,Person,O Public administration and defence; compulsory social security
KS606EW0017,Count,Person,P Education
KS606EW0018,Count,Person,Q Human health and social work activities
KS606EW0019,Count,Person,"R, S, T, U Other"
KS606EW0020,Percentage,Person,"A Agriculture, forestry and fishing"
KS606EW0021,Percentage,Person,B Mining and quarrying
KS606EW0022,Percentage,Person,C Manufacturing
KS606EW0023,Percentage,Person,"D Electricity, gas, steam and air conditioning supply"
KS606EW0024,Percentage,Person,"E Water supply; sewerage, waste management and remediation activities"
KS606EW0025,Percentage,Person,F Construction
KS606EW0026,Percentage,Person,G Wholesale and retail trade; repair of motor vehicles and motor cycles
KS606EW0027,Percentage,Person,H Transport and storage
KS606EW0028,Percentage,Person,I Accommodation and food service activities
KS606EW0029,Percentage,Person,J Information and communication
KS606EW0030,Percentage,Person,K Financial and insurance activities
KS606EW0031,Percentage,Person,L Real estate activities
KS606EW0032,Percentage,Person,"M Professional, scientific and technical activities"
KS606EW0033,Percentage,Person,N Administrative and support service activities
KS606EW0034,Percentage,Person,O Public administration and defence; compulsory social security
KS606EW0035,Percentage,Person,P Education
KS606EW0036,Percentage,Person,Q Human health and social work activities
KS606EW0037,Percentage,Person,"R, S, T, U Other"
KS607EW0001,Count,Person,All categories: Industry
KS607EW0002,Count,Person,"A Agriculture, forestry and fishing"
KS607EW0003,Count,Person,B Mining and quarrying
KS607EW0004,Count,Person,C Manufacturing
KS607EW0005,Count,Person,"D Electricity, gas, steam and air conditioning supply "
KS607EW0006,Count,Person,"E Water supply; sewerage, waste management and remediation activities"
KS607EW0007,Count,Person,F Construction
KS607EW0008,Count,Person,G Wholesale and retail trade; repair of motor vehicles and motor cycles
KS607EW0009,Count,Person,H Transport and storage
KS607EW0010,Count,Person,I Accommodation and food service activities
KS607EW0011,Count,Person,J Information and communication
KS607EW0012,Count,Person,K Financial and insurance activities
KS607EW0013,Count,Person,L Real estate activities
KS607EW0014,Count,Person,"M Professional, scientific and technical activities"
KS607EW0015,Count,Person,N Administrative and support service activities
KS607EW0016,Count,Person,O Public administration and defence; compulsory social security
KS607EW0017,Count,Person,P Education
KS607EW0018,Count,Person,Q Human health and social work activities
KS607EW0019,Count,Person,"R, S, T, U Other"
KS607EW0020,Percentage,Person,"A Agriculture, forestry and fishing"
KS607EW0021,Percentage,Person,B Mining and quarrying
KS607EW0022,Percentage,Person,C Manufacturing
KS607EW0023,Percentage,Person,"D Electricity, gas, steam and air conditioning supply"
KS607EW0024,Percentage,Person,"E Water supply; sewerage, waste management and remediation activities"
KS607EW0025,Percentage,Person,F Construction
KS607EW0026,Percentage,Person,G Wholesale and retail trade; repair of motor vehicles and motor cycles
KS607EW0027,Percentage,Person,H Transport and storage
KS607EW0028,Percentage,Person,I Accommodation and food service activities
KS607EW0029,Percentage,Person,J Information and communication
KS607EW0030,Percentage,Person,K Financial and insurance activities
KS607EW0031,Percentage,Person,L Real estate activities
KS607EW0032,Percentage,Person,"M Professional, scientific and technical activities"
KS607EW0033,Percentage,Person,N Administrative and support service activities
KS607EW0034,Percentage,Person,O Public administration and defence; compulsory social security
KS607EW0035,Percentage,Person,P Education
KS607EW0036,Percentage,Person,Q Human health and social work activities
KS607EW0037,Percentage,Person,"R, S, T, U Other"
KS608EW0001,Count,Person,All categories: Occupation
KS608EW0002,Count,Person,"1. Managers, directors and senior officials"
KS608EW0003,Count,Person,2. Professional occupations
KS608EW0004,Count,Person,3. Associate professional and technical occupations
KS608EW0005,Count,Person,4. Administrative and secretarial occupations
KS608EW0006,Count,Person,5. Skilled trades occupations
KS608EW0007,Count,Person,"6. Caring, leisure and other service occupations"
KS608EW0008,Count,Person,7. Sales and customer service occupations
KS608EW0009,Count,Person,"8. Process, plant and machine operatives"
KS608EW0010,Count,Person,9. Elementary occupations
KS608EW0011,Percentage,Person,"1. Managers, directors and senior officials"
KS608EW0012,Percentage,Person,2. Professional occupations
KS608EW0013,Percentage,Person,3. Associate professional and technical occupations
KS608EW0014,Percentage,Person,4. Administrative and secretarial occupations
KS608EW0015,Percentage,Person,5. Skilled trades occupations
KS608EW0016,Percentage,Person,"6. Caring, leisure and other service occupations"
KS608EW0017,Percentage,Person,7. Sales and customer service occupations
KS608EW0018,Percentage,Person,"8. Process, plant and machine operatives"
KS608EW0019,Percentage,Person,9. Elementary occupations
KS609EW0001,Count,Person,All categories: Occupation
KS609EW0002,Count,Person,"1. Managers, directors and senior officials"
KS609EW0003,Count,Person,2. Professional occupations
KS609EW0004,Count,Person,3. Associate professional and technical occupations
QS103EW0055,Count,Person,Age 53
KS609EW0005,Count,Person,4. Administrative and secretarial occupations
KS609EW0006,Count,Person,5. Skilled trades occupations
KS609EW0007,Count,Person,"6. Caring, leisure and other service occupations"
KS609EW0008,Count,Person,7. Sales and customer service occupations
KS609EW0009,Count,Person,"8. Process, plant and machine operatives"
KS609EW0010,Count,Person,9. Elementary occupations
KS609EW0011,Percentage,Person,"1. Managers, directors and senior officials"
KS609EW0012,Percentage,Person,2. Professional occupations
KS609EW0013,Percentage,Person,3. Associate professional and technical occupations
KS609EW0014,Percentage,Person,4. Administrative and secretarial occupations
KS609EW0015,Percentage,Person,5. Skilled trades occupations
KS609EW0016,Percentage,Person,"6. Caring, leisure and other service occupations"
KS609EW0017,Percentage,Person,7. Sales and customer service occupations
KS609EW0018,Percentage,Person,"8. Process, plant and machine operatives"
KS609EW0019,Percentage,Person,9. Elementary occupations
KS610EW0001,Count,Person,All categories: Occupation
KS610EW0002,Count,Person,"1. Managers, directors and senior officials"
KS610EW0003,Count,Person,2. Professional occupations
KS610EW0004,Count,Person,3. Associate professional and technical occupations
KS610EW0005,Count,Person,4. Administrative and secretarial occupations
KS610EW0006,Count,Person,5. Skilled trades occupations
KS610EW0007,Count,Person,"6. Caring, leisure and other service occupations"
KS610EW0008,Count,Person,7. Sales and customer service occupations
KS610EW0009,Count,Person,"8. Process, plant and machine operatives"
KS610EW0010,Count,Person,9. Elementary occupations
KS610EW0011,Percentage,Person,"1. Managers, directors and senior officials"
KS610EW0012,Percentage,Person,2. Professional occupations
KS610EW0013,Percentage,Person,3. Associate professional and technical occupations
KS610EW0014,Percentage,Person,4. Administrative and secretarial occupations
KS610EW0015,Percentage,Person,5. Skilled trades occupations
KS610EW0016,Percentage,Person,"6. Caring, leisure and other service occupations"
KS610EW0017,Percentage,Person,7. Sales and customer service occupations
KS610EW0018,Percentage,Person,"8. Process, plant and machine operatives"
KS610EW0019,Percentage,Person,9. Elementary occupations
KS611EW0001,Count,Person,All categories: NS-SeC
KS611EW0002,Count,Person,"1. Higher managerial, administrative and professional occupations"
KS611EW0003,Count,Person,1.1 Large employers and higher managerial and administrative occupations
KS611EW0004,Count,Person,1.2 Higher professional occupations
KS611EW0005,Count,Person,"2. Lower managerial, administrative and professional occupations"
KS611EW0006,Count,Person,3. Intermediate occupations
KS611EW0007,Count,Person,4. Small employers and own account workers
KS611EW0008,Count,Person,5. Lower supervisory and technical occupations
KS611EW0009,Count,Person,6. Semi-routine occupations
KS611EW0010,Count,Person,7. Routine occupations
KS611EW0011,Count,Person,8. Never worked and long-term unemployed
KS611EW0012,Count,Person,L14.1 Never worked
KS611EW0013,Count,Person,L14.2 Long-term unemployed
KS611EW0014,Count,Person,Not classified
KS611EW0015,Count,Person,L15 Full-time students
KS611EW0016,Count,Person,L17 Not classifiable for other reasons
KS611EW0017,Percentage,Person,"1. Higher managerial, administrative and professional occupations"
KS611EW0018,Percentage,Person,1.1 Large employers and higher managerial and administrative occupations
KS611EW0019,Percentage,Person,1.2 Higher professional occupations
KS611EW0020,Percentage,Person,"2. Lower managerial, administrative and professional occupations"
KS611EW0021,Percentage,Person,3. Intermediate occupations
KS611EW0022,Percentage,Person,4. Small employers and own account workers
KS611EW0023,Percentage,Person,5. Lower supervisory and technical occupations
KS611EW0024,Percentage,Person,6. Semi-routine occupations
KS611EW0025,Percentage,Person,7. Routine occupations
KS611EW0026,Percentage,Person,8. Never worked and long-term unemployed
KS611EW0027,Percentage,Person,L14.1 Never worked
KS611EW0028,Percentage,Person,L14.2 Long-term unemployed
KS611EW0029,Percentage,Person,Not classified
KS611EW0030,Percentage,Person,L15 Full-time students
KS611EW0031,Percentage,Person,L17 Not classifiable for other reasons
KS612EW0001,Count,Person,All categories: NS-SeC
KS612EW0002,Count,Person,"1. Higher managerial, administrative and professional occupations"
KS612EW0003,Count,Person,1.1 Large employers and higher managerial and administrative occupations
KS612EW0004,Count,Person,1.2 Higher professional occupations
KS612EW0005,Count,Person,"2. Lower managerial, administrative and professional occupations"
KS612EW0006,Count,Person,3. Intermediate occupations
KS612EW0007,Count,Person,4. Small employers and own account workers
KS612EW0008,Count,Person,5. Lower supervisory and technical occupations
KS612EW0009,Count,Person,6. Semi-routine occupations
KS612EW0010,Count,Person,7. Routine occupations
KS612EW0011,Count,Person,8. Never worked and long-term unemployed
KS612EW0012,Count,Person,L14.1 Never worked
KS612EW0013,Count,Person,L14.2 Long-term unemployed
KS612EW0014,Count,Person,Not classified
KS612EW0015,Count,Person,L15 Full-time students
KS612EW0016,Count,Person,L17 Not classifiable for other reasons
KS612EW0017,Percentage,Person,"1. Higher managerial, administrative and professional occupations"
KS612EW0018,Percentage,Person,1.1 Large employers and higher managerial and administrative occupations
QS103EW0056,Count,Person,Age 54
KS612EW0019,Percentage,Person,1.2 Higher professional occupations
KS612EW0020,Percentage,Person,"2. Lower managerial, administrative and professional occupations"
KS612EW0021,Percentage,Person,3. Intermediate occupations
KS612EW0022,Percentage,Person,4. Small employers and own account workers
KS612EW0023,Percentage,Person,5. Lower supervisory and technical occupations
KS612EW0024,Percentage,Person,6. Semi-routine occupations
KS612EW0025,Percentage,Person,7. Routine occupations
KS612EW0026,Percentage,Person,8. Never worked and long-term unemployed
KS612EW0027,Percentage,Person,L14.1 Never worked
KS612EW0028,Percentage,Person,L14.2 Long-term unemployed
KS612EW0029,Percentage,Person,Not classified
KS612EW0030,Percentage,Person,L15 Full-time students
KS612EW0031,Percentage,Person,L17 Not classifiable for other reasons
KS613EW0001,Count,Person,All categories: NS-SeC
KS613EW0002,Count,Person,"1. Higher managerial, administrative and professional occupations"
KS613EW0003,Count,Person,1.1 Large employers and higher managerial and administrative occupations
KS613EW0004,Count,Person,1.2 Higher professional occupations
KS613EW0005,Count,Person,"2. Lower managerial, administrative and professional occupations"
KS613EW0006,Count,Person,3. Intermediate occupations
KS613EW0007,Count,Person,4. Small employers and own account workers
KS613EW0008,Count,Person,5. Lower supervisory and technical occupations
KS613EW0009,Count,Person,6. Semi-routine occupations
KS613EW0010,Count,Person,7. Routine occupations
KS613EW0011,Count,Person,8. Never worked and long-term unemployed
KS613EW0012,Count,Person,L14.1 Never worked
KS613EW0013,Count,Person,L14.2 Long-term unemployed
KS613EW0014,Count,Person,Not classified
KS613EW0015,Count,Person,L15 Full-time students
KS613EW0016,Count,Person,L17 Not classifiable for other reasons
KS613EW0017,Percentage,Person,"1. Higher managerial, administrative and professional occupations"
KS613EW0018,Percentage,Person,1.1 Large employers and higher managerial and administrative occupations
KS613EW0019,Percentage,Person,1.2 Higher professional occupations
KS613EW0020,Percentage,Person,"2. Lower managerial, administrative and professional occupations"
KS613EW0021,Percentage,Person,3. Intermediate occupations
KS613EW0022,Percentage,Person,4. Small employers and own account workers
KS613EW0023,Percentage,Person,5. Lower supervisory and technical occupations
KS613EW0024,Percentage,Person,6. Semi-routine occupations
KS613EW0025,Percentage,Person,7. Routine occupations
KS613EW0026,Percentage,Person,8. Never worked and long-term unemployed
KS613EW0027,Percentage,Person,L14.1 Never worked
KS613EW0028,Percentage,Person,L14.2 Long-term unemployed
KS613EW0029,Percentage,Person,Not classified
KS613EW0030,Percentage,Person,L15 Full-time students
KS613EW0031,Percentage,Person,L17 Not classifiable for other reasons
QS101EW0001,Count,Person,All categories: Residence type
QS101EW0002,Count,Person,Lives in a household
QS101EW0003,Count,Person,Lives in a communal establishment
QS101EW0004,Count,Communal establishment,Communal establishments with persons sleeping rough identified
QS102EW0001,Count,Person,All usual residents
QS102EW0002,Sum,Area (Hectares),Area(Hectares)
QS102EW0003,Ratio,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Density (number of persons per hectare)
QS103EW0001,Count,Person,All categories: Age
QS103EW0002,Count,Person,Age under 1
QS103EW0003,Count,Person,Age 1
